"username","description"
"TeslaBernard","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis."
"brendan0772","Technical Director 
Lakewood Ranch Chargers SC"
"sarahbrosario","Emmy winning journalist @sarahwtsp |Wife :ring:#BoyMom :baby: light skin tone: :baby: light skin tone:| :globe showing Americas:Traveler|Positive|Goal driven| #Florida :sun:Master of power naps| :folded hands: medium-light skin tone:Matthew 19:26"
"TampaBaysJulie","Wife|Dog Mom|Realtor|Meteorologist #ILoveTampaBay #AdoptDontShop"
"tpagrl803","Bibliophile, lifter, instructional designer, higher ed pro, Tampa native, your mom. #Bucs #Rays #Lightning #Bulls Fan"
"GrandeTarpon","Grande Tarpon Charters - Boca Grande to Anna Maria Island Charter Fishing"
"NeverTrump1970",""
"judith_moroff","”I’m not going to censor myself to comfort your ignorance.” ….Jon Stewart. #Savage"
"TSuperstart","Football fanatic. Killing them in the land of the Terrapins. Tampa Bay"
"maxmhouck","Forensic scientist, anthropologist, philosopher, contrary catalyst. There is no box; think outside of that. """"The Larry David of Forensic Science."""" My opinions."
"WickerInn",""
"mcbaby123","mother, sister, daughter, wife, friend, jogger"
"BotchyUbrich","I love holly dewey"
"james_bege","I am a professional educator. A musician the has a teaching and passion for performing. I posses a MA on Music Education and a Minor in Political Science"
"krazysamina1","Spread Love nothing but Love. 
Hollywood and Bollywood movie Buff ! 

Realestate Investor and Crowd funding expert. Love you all so much :sparkling heart:
Insta KrazySamina"
"ThomasD90396784","Manager at the Columbia Restaurant St. Armands circle Sarasota  Buckeye Reds and Bengals fan transplant from Ohio . Married to Erma Sanders"
"croft_pat",""
"MelissaHarmon1","Emmy winning producer & storyteller. Loves public media, mangoes, & vintage Pyrex. Daughter of a garage sailing goddess. Rts & :red heart: ≠ endorsement"
"IamJDM83",""
"WFLANightPhotog","Here giving you the News you need First!! WLFA's overnight Photojournalist. TRUST ME IM ALWAYS FIRST!!!!! AKA Night Crawler"
"JanaJonesTV","Find what makes you come alive and go do it. IG: wflajana"
"Shan73198",""
"greatthingstb","Listen to my show on our website, iTunes, Spotify and i:red heart:Radio for: :sushi::curry rice::shortcake::taco::pizza:Great Eats :stadium::beach with umbrella:Great Places and Great People :woman dancing: medium-dark skin tone:in Greater Tampa Bay!"
"caputo_felecia","Loves supernatural tv show on CW ,America and dogs"
"xAyannabananax","USF *ΑΦΩ:blue heart::yellow heart: * SC/ IG: xayannabananax :woman teacher: medium-dark skin tone:"
"AMIBeachLife","Luxury Waterfront Vacation Rentals on Anna Maria Island, Florida                          Facebook: https://t.co/OD2md8Krnz"
"tjm1208","Worked for NYS in Health Care analysis for 38 years"
"JCBua","WH Correspondent Reel Political News https://t.co/xBAt9AyuIe @BillClinton Admin Comm Dir; Fmr @SkyNews; Adj Prof @CUAPolitics Fmr Adj @Georgetown SFS"
"Chandra0816","Health specialist, writer, autism mom, and proud community member of Tampa Bay, Florida."
"fsutoby","Mgr, #PR/Communications, @TrulyNolen. Past-Pres. @PRSAPalmBeach & @PRSAFTL. @floridastate alum, @RaysBaseball & @Seahawks fan. Opinions here are my own."
"ATISH_WTSP","Executive Producer - @10TampaBay, @CBS. 22 years in TB. VP, @AAJA Florida. Journalist, content creator, team leader. Proud dad."
"PinkieMichelle","I live in Bradenton Florida where I was born & raised. I'm 36 years old. I have 3 boys ages 19, 17 & 15. My family is my life. I live in a beautiful pink world!"
"laurenverno","Emmy award winning journalist turned cyber defender."
"saul_vera_music","Multi-intrumentista, compositor, docente, productor musical. Docencia y gerencia en accion. Tradicion y novedad 1 solo sonido. http://t.co/jvEDOPCGbv"
"BRhodes83","@ColoradoStateU grad - Former producer at @10TampaBay and @koaa - PR pro - Sports enthusiast - Fluent in Emoji/Gif - Handstands - Tweets/RT's are my own opinion"
"hidingfrmmykids",""
"luxurytravelrev","First hand editorial reviews and photography of luxury travel, gourmet, spa, hotels, rental homes, travel products, and ecotourism features."
"SteveLemongello","Politics editor at @orlandosentinel • Covering presidential, congressional, and Florida politics • Jersey native, Florida convert"
"poodlewalker10","I love my faith, family, friends, dogs, sports, & food. The good stuff in life. Live for eternity. Nothing on this earth will last. https://t.co/olfaO1z2TO"
"pdorsey","Incoming Publisher @theNewMexican - Frmr Pub: @Statesman, @HeraldTribune, @TDOnline. Support ur local newspaper. Enjoying adventure w/ my love Kecia"
"Tampa_NC","Updated Tampa news,sports,


weather,entertainment,politics


and business information."
"LouisaS59","Love Life!!"
"neilbenzinger",""
"Evcoc54","If you're not outraged, you're not paying attention!

""""You must find a way to get in the way and get in good trouble, necessary trouble."""""
"taylortorregano","Reporting for Spectrum News 1 in LA. Story idea? :e-mail::Taylor.Torregano@charter.com"
"datbrowngal",""
"sjlnlgl5451","Retired nurse.wife,mother,grandmother, Conservative,educated trumper.2 nephews and 2 grandsons serving our country.Trump is my President.#MAGA by rt'in NO LISTS"
"ABillroth2",""
"pugdaddy","Never met a pug I didn't fall in love with. Have 5 + an puggle + a black Pomeranian."
"mlondo856","When all is said and done, what counts is what's true, and how we all treated one another."
"amberserickson",""
"AnthonyDisimo15","V. the messenger"
"AscanioMatt","Pro-Life, adamant, libt@rd-hating Conservatarian; MBA Finance; ILLEGITIMI NON CARBORVNDVM- LVPVS NON TVRBATVR PER QVOT OVES VT SINT #MAGA"
"GriffinFrank",":television: FOX & Friends Line Producer | @foxnews :flag: United States:"
"jaimiealley","celestial transient"
"jayohday","Data reporter, local initiatives @publicintegrity • past: @stltoday @bradentonherald @craig_press • send me csvs • @jayohday@mastodon.social"
"TBTimes_Photo","Our @TB_Times photographers and videographers are your eyes and ears for the Tampa Bay area."
"rxpatrick","My tweets are my own. He/him."
"ACCTampaBay","The Association of Corporate Counsel Tampa Bay Chapter provides MCLE, networking, & service opportunities to in-house lawyers in the Tampa Bay Area."
"john_p_morris","singer-actor + recovering christoholic. coping via psychology / personality typologies. they/them. enfp. 4w3sp/so. scroll for collective bio."
"Eclipsed___",""
"WriterLeonora","@TB_Times journalist, @Illinois_Alma grad; contact me at leonora37@gmail.com"
"SandraAMI",""
"acmemobileled","ACME Mobile LED is a family owned and operated mobile digital screen company. Marketing; billboards; movie nights; events; guerrilla marketing."
"GunsnSandwitchs",""
"PeteyL12","Son, brother, uncle, human being, traveler and chicken wing connoisseur. Be well!"
"tigermacri","I am a small town man who enjoys classic television, Animals, and Computers."
"YourAuntieMame","MAGA!:flag: United States: The only one that can help us now is #45:double exclamation mark:"
"OBXNEST","The Network for Endangered Sea Turtles (N.E.S.T.) is a non-profit organization dedicated to the preservation and protection of sea turtles."
"Heat40976734",""
"BeachInnAMI","Beachfront boutique hotel overlooking turquoise waters & white sand beach of Anna Maria Island. Our luxury suites offer an unparalleled island experience."
"QueegRides","The Mighty Queeg has polished his balls and is ready for battle."
"adamzwiner","Strategic Communications Director @AdvEnergyUnited. awiner@advancedenergyunited.org. Former reporter. @merrillcollege grad."
"EmilyPesquera","Just a Jersey Girl living in a Florida world:white heart:
University of Tampa"
"maddy3939","Only measure your life in the love you have shared."
"brit_nicole926","Licensed Massage Therapist @sapphirelotusmassage"
"alanna_massey","Public Relations"
"SaraBay","We'll make you feel right at home! We are a locally owned office providing comprehensive brokerage services in the area."
"Rhymin_Andy",""
"StormChasingVid","https://t.co/R6DkYANebZ Twitter account.  If you are with the media and are looking to license content from us, please use the contact form on our website"
"ADRC1","Corporate culture creation, alignment and detoxification."
"JMMeszaros","All Things Considered host and sustainability reporter for @WUSF, @NPR for the Tampa Bay area. (she/her) Retweets are not endorsements."
"Bridget_O_Brien",""
"8_plamison","Up high over the Tampa Bay area in News Channel 8's Eagle 8 HD"
"akesslerdc","Longtime data and investigative journalist; @AP data team covering elections; @IRE_NICAR board; Past: @CNN, @nytimes, @bloomberg; Fan of #rstats, #scrum, #F1"
"GWaldenWFTV","Grew up on a Wisconsin dairy farm with 10 brothers & sisters. BS Geological Engineering & Geology Wisconsin. MS Atmospheric Science UCLA. Meteorologist @WFTV."
"WFTVWeather","We eat, breathe, & sometimes get some sleep tracking all of Central Florida's weather! Send us your weather reports/pics, they might end up on TV! #stormalert9"
"BrianWFTV","@WFTV Meteorologist | Husband | Dad of 3 boys & 1 pug | Basketball Coach @bmooreathletics | #NovaNation"
"Hmmmthere","America- My home sweet home! :flag: United States:"
"j9merc",""
"Babswired",""
"Eric_OTR","OTR  LEO  GENTLEMAN... born and raised in the Nati but Florida on my mind."
"HSoat050713","@NWMOSTATE'13,:green heart:@NWBearcat_FB, & #FOX13GMM Uberfan. Love @TheHaroldLloyd films!! Banker-In-Training:bank: @CentralBankMW. Future Archivist."
"blamarre","Meteorologist-in-Charge National Weather Service @NWSTampaBay #NWS #NOAA #weather #science #leadership #WaldenU #oceans #flwx #Florida #GulfofMexico #WestConn"
"JennyBeck85",":round pushpin:Head of PE (East London):round pushpin:GCSE PE (OCR):round pushpin:Owner of @cpdRIDE:round pushpin:MA in Education Management from @kingsCollegeLon. :round pushpin:#ThisGirlCan"
"kathidiamant","Author of Kafka's Last Love, Director of the Kafka Project, Actress, TV broadcaster, obsessed with Franz Kafka, who can change your life. In a good way."
"B_House_R","Triple Bogey Allstar"
"jenstaletovich","@WLRN public radio environmental reporter. Florida born."
"ArtsnarkTampa","game co. employee by day / artist by night / I make stuff, dig in the dirt & love playing tourist in sunny Tampa"
"Andreas22467916","criminal trial attorney,  professor, philosopher, art appreciator, conversationalist, decent golfer, disabled veteran"
"kazzieanderson","I put the A into Admin! However I also cover shows on the station that's very proud 2 be local, HFM 102.3 fm. Oh yeah AND I kicked Breast Cancer up the butt!"
"tortoiseblog",""
"MarkHCoatham","MD @Coatham, Chair@CPTYorksNorth, Chair at South Bank Primary and Trustee @RCVDA, and a husband and a dad! #makeadifference"
"LibbyBlog","Transportation/urban planning consultant in Florida. Author of forthcoming """"Paleo Places"""" - an evolutionary approach to urban planning."
"Jessperado",""
"unckristi",""
"PHeck16","I believe in the power of voting! Volunteering to encourage voting in my community."
"FOX13Tyler","Meteorologist (CBM) @FOX13News in Tampa. Husband and Dad. Chicago native. Blessed to live, work, and play in Tampa Bay!"
"wmnfnews","WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him"
"DylanAllenWx","18 | NCSU Meteorology ‘26"
"wusf","WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music."
"premmell","Patty McCabe-Remmel
Citizen. Editor. Boomer.
I saw all the good bands first."
"SpectriosEye","Spectrios Institute is a 501c3 #nonprofit organization that empowers children and adults with #visionloss. #EyeCare #Ophthalmology #LowVision #Technology"
"SaveFLWatersNow","Spreading awareness about the environmental devastation our beautiful state is currently suffering, especially to our most precious resource: water."
"cynthiaherrick_","[ Visual Designer / Photographer / Illustrator / Aspiring Writer ] My knight in shining armor was wearing a baseball uniform."
"jmowry11","Denver helicopter photojournalist.  Opinions are my own."
"BOX60326261","What can you say, just another foot soldier, waiting for the word. https:https://t.co/peHlMJnnPT GOP=Guilty Old Pedophiles No MAGA ppl"
"mediccaptfm","Air Force Veteran - Retired EMS Captain/FF/Paramedic - SpecOps - SWAT - No lists! #TheResistance #Indivisible #VeteransAgainstTrump #DemCastFL @TurnFL_Blue"
"ktesk1","Guitarist time 2 time  -Everyday is a GIFT •Steve Clark fan ! Family , Sports, Sports Radio& Sopranos Fanatic •aliases JohnVolsBB"
"SarasotaREguy","RE/MAX Alliance Group | Successfully Marketing + Selling Luxury Homes, Condos + Residential Real Estate since 1986. Come, Enjoy all that Sarasota has to offer"
"Mr_JCE","Husband • Native Texan:cowboy hat face: • Anchor @CBSaustin • Dog Dad:paw prints: • EDU: @ColumbiaJourn & @GWAlumni • CONTACT: jcestrada@cbsaustin.com #MoreLatinosInNews"
"GRGFLLC","Fishing Lifestyle Brand. Home of Fish or Die!, Get Boned, Fish Like A Pirate... Apparel and Gear"
"banana_crazy101","Health. Nutrition. Strength and Conditioning Coach. Runner."
"MWatsonSurfline",":water wave::water wave::water wave: Surfline Senior Forecast Manager. Florida native. BS/MS FSU 02/05. Weather|Waves|Surf|Sports. The Ocean is my sanctuary. :water wave::water wave::water wave:"
"paul_ruscher","Retired weather & climate prof @#FSU; now :party popper:retired Dean @#LCC. @ametsoc Fellow. Personal acct. RTs≠agreement :baseball:️/Sci/Nature/:peace symbol:/Fun/ husband/dad/g’pa"
"FishTrack","Everything you need to find fish."
"Svandmd","N.J. dentist #voteblue #strongertogether"
"LK010101",""
"ScharkieChamp",":play button: L:heart suit:ve competitive fishing

:play button: Follow pro tournament news

:play button: L:heart suit:ve the Champion in all of us!

  Everybody says, ʻHiʼ  scharkiechamp@gmail.com"
